name	nickname
Las Vegas	City of Lights
Las Vegas, Nevada (downtown)	Glitter Gulch
Las Vegas, Nevada (downtown)	The Strip
Letchworth,	UK	The first Garden City in the World
London, England	The Square Mile
London's financial district	The City of London
London, Ontario	The Forest City
Los Angeles	The Big Orange
Los Angeles	City of Angels
Los Angeles, California	City of Flowers and Sunshine
Los Angeles	La La Land
Los Banos	City of the Spring Baths
Louisville, Kentucky	City of Beautiful Churches
Louisville, Kentucky	Falls City
Lowell, WY	The Rose City of Wyoming
Madison, Wisconsin	Four Lake City
Manila, Philippines	Pearl of the Orient
Mar del Plata, Argentina	Queen of the Coast
Marysville, California	Gateway to the Gold Fields
Medellin, Columbia	Orchid City
Meeteetse, WY	Where Chiefs Meet
Melbourne, Australia	City of Chromatic Dissolution (not a real nickname, but I really liked the phrase. I'll have to dig up the film, someday.)
Memphis, TN	Bluff City
Memphis, TN	The City that Elvis Ruined (I get a Googlewhack for that one! Today, anyway.)
Miami, Florida	Little Cuba
Miami, Florida	Magic City
Milwaukee, Wisconsin	Cream City
Minneapolis, Minnesota	Flour City
Minneapolis	The Mini Apple
Minneapolis/St. Paul, MN	The Twin Cities
Mobile, Alabama	City of Five Flags
Montreal, Canada	The City of Saints
Mountain Iron, Minnesota	Taconite Capital of the World
Moyobamba, Peru	Orchid City
Nashville, TN	Music City, USA
New Haven, Connecticut	Elm City
New Orleans	The Big Easy
New Orleans	The Crescent City
New York	The Big Apple
New York	The Capital of the World
New York	The City that Never Sleeps
New York	Gotham
New York	Empire City
New York	The Melting Pot
New York/Manhattan	The City
Norrköping, Sweden	Peking
Noxubee County, Alabama	Home of the Dancing Rabbit Festival and Magnolia Pilgrimage
Oakdale, CA	Cowboy Capital of the World
Oakland, CA	Oaktown
Oroville, CA	City of Gold
Oxford	City of Dreaming Spires
Oxnard, CA	Strawberry Capital of the World (but see here).
Paris	City of Light
Pasadena, CA	City of Roses
Patterson, CA	Apricot Capital of the World
Pearsonville, CA	Hubcap Capital of the World
Petaluma, CA	Egg Basket of the World
Petra	The Rose Red City
Philadelphia	City of Brotherly Love
Philadelphia, Pennsylvania	Rebel Capital
Philadelphia, PA	Mortal City (per Dar Williams)
Pittsburgh, PA	Steel City
Pittsburgh, PA	The 'Burgh
Pittsburgh, PA	Iron City
Pittsburgh, Pennsylvania	The Birmingham of America
Pittsburgh, PA (downtown)	Golden Triangle
Pittsburgh, PA (downtown)	Three Rivers
Pittsburgh, PA (region)	City of Bridges
Placerville, CA	Hangtown
Portland, Maine	Forest City
Portland, Maine	Hill City
Portland, Oregon	City of Roses
Prague, Czech Republic	The Golden City
Providence, Rhode Island	Beehive of Industry
Quebec	The Gibraltar of North America
Queenstown, NZ	Extreme Sports Capital of the World
Redmond, WA	Mordor
Redmond, WA	Nerdburg
Reno, NV	The Biggest Little City in the World
Reseda, CA	The Hub of the West Valley (That's the San Fernando Valley)
Rigby, Idaho	Birthplace of TV
Rincon (Santa Barbara County), California	Queen of the Coast
Rochester, New York	Kodak City
Rochester, New York	Snapshot City
Rockport, MA	The Mendocino of the East
Rogue River Valley, OR	Pear Capital of the World (but see here).
Rome	The City of the Seven Hills
Rome, Italy	The Eternal City
Rome, Italy	City of Love
Rye, New York	Border Town
Sacramento, California	River City
Saint Louis, MO	Gateway to the West (or "The Gateway City")
Saint Paul, Minnesota	Moscow on the Mississippi
Saint Petersburg, Russia	Venice of the North
Salem, Massachusetts	City of Witches
Samal, Philipines	Island Garden City of Samal (IGaCoS)
San Antonio, Texas	Alamo City
San Antonio, Texas	Mission City
San Diego, California	The Plymouth of the West
San Diego, CA	America's Finest City
San Francisco, California	The Golden Gate City
San Francisco, California	Shaky Town
San Francisco, CA	Baghdad by the Bay
San Francisco, CA	The City
North San Jose, CA	The Golden Triangle
Santa Fe, New Mexico	The City Different
Santa Rosa, NM	The SCUBA-diving capital of New Mexico
Saratoga Springs, New York	Spa City
Savannah, Georgia	Garden City
Sault Ste. Marie, Ontario	The SOO
Sault Ste. Marie, MI (I think)	The SOO
Seattle, WA	The Emerald City
Selma, CA	Raisin Capital of the World
Shah Alam, Malaysia	Orchid City
Sonora, CA	The Queen of the Southern Mines
Stockholm	Eken (The Oak)
Stockholm	Venice of the North
Stockton, CA	California's Sunrise Seaport
Sturgis, Michigan	Curtain Rod Capital of the World
Sundbyberg, Sweden	Sumpan
Syracuse, New York	Salt City
Taxco, Mexico	Silver Capital of the World
Thousand Oaks, CA	T.O.
Tijuana, Mexico	Television Capital of the World
Toledo, Ohio	Corn City
Toronto, Ontario	Hogtown
Toronto, Ontario	Muddy York (archaic, I think)
Toronto, Ontario	T.O.
Toronto, Ontario	Toronto the Good (sometimes pejorative)
Toronto, Ontario	Trawna or Trahna
Toronto, Ontario, Canada	Queen City
Tulelake, CA	Horseradish Capital of the World
Umeå, Sweden	Björkarnas stad (The city of the birches)
(Historic) Vancouver, B.C., Canada	Gastown
Venice, Italy	Bride of the Sea
Venice, Italy	Queen of the Adriatic
Värnersborg, Sweden	Lilla Paris (Little Paris)
Västerås	Gurkstan (The Cucumber City)
Vicksburg, Mississippi	The Gibraltar of America
Victoria, Australia	The Cabbage Patch
Victoria, B.C., Canada	Little England
Walla Walla, WA	The Town So Nice They Named It Twice
Walla Walla, WA	Walla2
Walla Walla, WA	Wallyworld
Washington D.C.	Capital City
Washington D.C.	News Capital of the World
Waterbury, Connecticut	Brass City
Wenatchee, WA	Apple Capital of the World
West Hollywood, CA	Boystown
West Hollywood, CA	The Creative City
West Palm Beach, Florida	Orchid City
Westwood, CA	Home of Paul Bunyan & Babe, the Blue Ox
Wheeling, West Virginia	Nail City
Wichita, Kansas	Emerald City
Windsor, Ontario	Tijuana North
